0;1
2021-04-29 13:57:13+00:00;"@nsitharaman@
@nsitharamanoffc 
@PMOIndia 
@cbic_india 
@Infosys_GSTN 
@Icis 
@theicai 
Please extend gst amenity scheme And gst due date and income tax date"
2021-04-29 13:56:53+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman I have opt out all the clients in the April
2021-04-29 13:56:18+00:00;"@Infosys_GSTN @nsitharaman ise bharne ke liye office jana pdta hai. Lock down me wha jaye ya khud ki Jan bachahye ye bhi bta do. 

You guys can't be more cruel man. Shame on you."
2021-04-29 13:52:38+00:00;@Infosys_GSTN @cbic_india Such a shame!!
2021-04-29 13:52:31+00:00;@Infosys_GSTN @cbic_india Harrasment at its best
2021-04-29 13:50:45+00:00;@Infosys_GSTN @cbic_india Hope you know there is lockdown in many cities, why not extend due date?
2021-04-29 13:50:42+00:00;@Infosys_GSTN @cbic_india Sir, my client turnover is 3.5 Crores in 20-21. So he wants to opt in QRMPS for 21-22. System is not allowing and frezeed to monthly based on 2019-20 turnover. Kindly Guide @theicai
2021-04-29 13:50:28+00:00;@Infosys_GSTN @cbic_india Wow could you be more cruel?
2021-04-29 13:44:11+00:00;@Infosys_GSTN Please extend gst amenity scheme And gst due date and income tax date
2021-04-29 13:44:09+00:00;@Infosys_GSTN I m in hospital , how I can opt ? Plz answer
2021-04-29 13:41:46+00:00;@Infosys_GSTN Hey raaaaam!
2021-04-29 13:40:51+00:00;"Dow Opens up +144 points
Nasdaq +135 points
Hdfc bnk adr -0.43%
icici bnk adr -0.12%
infosys adr +0.77%
tata motors adr  -0.34%
wipro adr +0.69%

Vaccine manufacturing companies
Moderna up 4%
Novavax up 3%"
2021-04-29 13:36:59+00:00;@Infosys_GSTN @gstindia @GSTN_IT Kindly revert fast as tommorrow is last date to opt in for Q1 2021-22
2021-04-29 13:34:41+00:00;"@TVMohandasPai Pathetic.
Do you feel so miniscule with your achievements as one of infosys founder comparing your market cap with Google or Amazon?
Sir be Absolute! We are talking about lives being lost, not share prices."
2021-04-29 13:33:47+00:00;"@Infosys_GSTN @GST_Council @gsthelpline @cbic_india Dear @Infosys_GSTN I have talked to RPO and he shared 
with me Ticket number raised at GST Officers Helpdesk which is 202103253497692, still no resolution yet request you to please look into, company's most of the working capital got stucked they will not able to survive 🙏"
2021-04-29 13:27:48+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman I, for 21 clients
